;index;parametros;MeAE_train;MeAE_test;MAPE_train;MAPE_test;r2_train;r2_test;rmse_train;rmse_test;index;mean_test_metrica;std_test_metrica;mean_train_metrica;std_train_metrica;mean_train_meae;mean_test_meae;mean_train_mape;mean_test_mape;mean_train_r2;mean_test_r2;mean_train_rmse;mean_test_rmse;escenario
0;0;"RandomForestRegressor(max_depth=10, min_samples_leaf=2, n_estimators=80,
                      random_state=42)";50370382,51647973;83285305,0497551;0,09054892594054546;0,18359411498022518;0,948438449570065;0,8213347079019487;149114814,96567538;258662123,47379878;0;-104766565,35703579;5586633,57225876;-49315994,55248852;1398213,2711612503;49315994,55248852;104766565,35703579;0,09022147023021357;0,1871796542246858;0,9496482291788005;0,7919129108350551;2,168070476119289e+16;8,808959986355253e+16;modelo_rf
1;1;"RandomForestRegressor(max_depth=25, min_samples_split=3, n_estimators=80,
                      random_state=42)";39344940,64391279;64846890,833857834;0,06636210664406245;0,16707136959498403;0,9633171471993882;0,8066744882620672;125773562,2650962;269065072,8325515;2;-0,119730423204701;0,006228797954117863;-0,046765686530360284;0,0008145096141976585;39863308,39936731;107316149,97531237;0,06882608308248477;0,1797428745408554;0,959473551605516;0,7808662723784326;132055059,86549096;304053137,84724265;modelo_rft
2;2;"GradientBoostingRegressor(max_depth=15, min_samples_split=10, n_estimators=120,
                          random_state=42)";175321,71540945768;97374876,91566658;0,00039816571435888755;0,1995559802574389;0,9999995145692222;0,7438560406263284;457531,98945110966;309709695,28235185;3;-99121806,63268149;12066297,047000047;-133321,69131079913;26988,590246914235;133321,69131079913;99121806,63268149;0,00030942113758064885;0,19060511959219065;0,9999996729020388;0,777422656956907;140925087632,36615;9,48964298740314e+16;modelo_gbt
3;3;GradientBoostingRegressor(max_depth=20, min_samples_split=17, random_state=42);1067337,777083248;71725635,70079684;0,001893613735069196;0,18023284203654388;0,9999728902980872;0,7628977982471171;3419165,959822827;297975484,88301563;4;-0,11910401614545733;0,009519969035057103;-0,0014162252407629694;0,0001564928755487393;1202147,4863082706;114632623,37086868;0,0020616772523565446;0,1844565467948293;0,999970262959532;0,7650026323405523;3556216,687071511;315175230,3627362;modelo_gbtt
4;4;"MLPRegressor(alpha=0.004, hidden_layer_sizes=(150, 75), max_iter=500,
             random_state=42, solver='lbfgs')";9710,673276782036;182236019,41538644;0,00024362802271217108;0,4436424606869422;0,9999959827033104;0,44288109728750213;1316208,7191858327;456758553,3039624;5;-267719164,17190972;30955900,472229637;-4126,924740219116;3005,4681449351715;4126,924740219116;267719164,17190972;0,0001954390734103628;0,4612055256685454;0,9999969024885118;0,1466713376620255;1346766361189,4565;3,688403943011406e+17;modelo_rnn
5;5;"MLPRegressor(alpha=0.001, hidden_layer_sizes=(180, 90), max_iter=500,
             random_state=42, solver='lbfgs')";844999979,4445648;779999977,7097039;0,9999999714439732;0,9999999688304861;-2,6074691286316387;-2,4443428000248946;1247266108,6198752;1135706014,8421423;9;-0,6931419499714757;0,04853102973678316;-0,000958782597306751;0,00020040117605432442;798559,7286068916;478989868,8566781;0,002037035966252149;951,7504557637519;0,9999574048433626;-535643017,37470406;4192901,5470146625;7204518658327,536;modelo_rnnt
