;index;parametros;MeAE_train;MeAE_test;MAPE_train;MAPE_test;r2_train;r2_test;rmse_train;rmse_test;index;mean_test_metrica;std_test_metrica;mean_train_metrica;std_train_metrica;mean_train_meae;mean_test_meae;mean_train_mape;mean_test_mape;mean_train_r2;mean_test_r2;mean_train_rmse;mean_test_rmse;escenario
0;0;"RandomForestRegressor(max_depth=8, min_samples_leaf=4, min_samples_split=4,
                      n_estimators=150, random_state=42)";33832810,74149035;109404590,33795092;0,19195916109928185;0,3511580539229716;0,6699473236540869;0,5814223961820761;185290517,9084753;147113482,93145454;0;-51341320,54828293;14007326,889566598;-36599652,119355604;3419658,6393550695;36599652,119355604;51341320,54828293;0,20151500823421017;0,3142464502915438;0,6651889062591463;0,40251043964887356;3,541143370879265e+16;6,47273437534006e+16;modelo_rf
1;1;"RandomForestRegressor(max_depth=9, min_samples_leaf=2, min_samples_split=6,
                      random_state=42)";25558304,997564018;81845601,1687567;0,1305117002789016;0,26238563453523367;0,7318391323289053;0,7001889900810588;167016457,15097734;124505424,25665078;3;-0,17352765751710814;0,018155367849357017;-0,09424352001974476;0,008456661903764165;28142839,620706905;56469802,97308774;0,13468703898701184;0,2834086002380434;0,7273519036106441;0,38381221361640927;167799303,5926865;238917819,36594433;modelo_rft
2;2;"GradientBoostingRegressor(max_depth=7, min_samples_leaf=2, min_samples_split=6,
                          n_estimators=150, random_state=42)";124998,22230169177;59784148,98669097;0,0010764455065795046;0,23524042903370224;0,9999978250655926;0,6731868571987087;475646,8749950495;129991286,08486041;4;-48701934,571255155;22728543,226173393;-277055,93800289335;98557,74859128495;277055,93800289335;48701934,571255155;0,0016361370552925296;0,3186416957143433;0,9999918521499538;0,25122209851484567;718926109701,8136;6,770188629193288e+16;modelo_gbt
3;3;"GradientBoostingRegressor(max_depth=9, min_samples_leaf=3, min_samples_split=4,
                          n_estimators=150, random_state=42)";66599,05864571035;77163548,73427993;0,000800960840223928;0,26770127468163685;0,999908586316499;0,5115964206788528;3083664,8502672054;158910978,87157938;5;-0,17470222367200314;0,0533306303765969;-0,00032551237273779063;0,0001247169470060266;105155,85918771327;55866646,74798896;0,0009014793347862111;0,30664526486372623;0,9999014192582578;0,2579235385547779;2839099,7788814427;256072836,31941396;modelo_gbtt
4;4;"MLPRegressor(alpha=0.1, hidden_layer_sizes=(110, 60), learning_rate_init=0.1,
             max_iter=500, random_state=42)";16504527,765983015;139018723,06672245;0,18890484306185365;0,5295473303440306;0,8136415229320695;0,1252072935296551;139231064,06228366;212675303,17198306;8;-127886776,49323416;45994952,66335427;-16166928,938294748;952619,0128243085;16166928,938294748;127886776,49323416;0,16833153035449777;0,5530239204655178;0,84532385959509;-0,7508787946087813;1,5961402549275136e+16;2,0145873229419997e+17;modelo_rnn
5;5;MLPRegressor(alpha=0.004, hidden_layer_sizes=(95, 50), random_state=42);299499980,4853686;312913480,7004641;0,9999999348990561;0,9999999377580778;-1,7620177196277367;-2,827361457592418;536012349,884843;444850643,75922805;9;-1,0227778164642305;0,09239682543519409;-0,04740515775652234;0,00793403221617371;17123902,524182037;222298371,98879156;0,16099474113110684;9,904701077487146e+26;0,8135549855950067;-1,8041821589984317e+57;138059366,68231565;9,500255531280457e+36;modelo_rnnt
